ozmovies,wikidata,description
http://www.ozmovies.com.au/movie/crimebroker,Q15039812,"Crimebroker (Ian Barry, 1993)"
http://www.ozmovies.com.au/movie/crocodile-dundee,Q615254,"Crocodile Dundee (Peter Faiman, 1986)"
http://www.ozmovies.com.au/movie/crocodile-dundee-ii,Q1140745,"Crocodile Dundee II (John Cornell, 1988)"
http://www.ozmovies.com.au/movie/crocodile-dundee-in-los-angeles,Q1140744,"Crocodile Dundee in Los Angeles (Simon Wincer, 2001)"
http://www.ozmovies.com.au/movie/crocodile-hunter-collision-course,Q1140738,"The Crocodile Hunter: Collision Course (John Stainton, 2002)"
http://www.ozmovies.com.au/movie/crossing,Q7728178,"The Crossing (George Ogilvie, 1990)"
http://www.ozmovies.com.au/movie/crosstalk,Q5188864,Crosstalk (1982)
http://www.ozmovies.com.au/movie/cunnamulla,Q55608684,"Cunnamulla (Dennis O'Rourke, 2000)"
http://www.ozmovies.com.au/movie/custodian,Q7728500,"The Custodian (John Dingwall, 1993)"
http://www.ozmovies.com.au/movie/cut,Q978522,"Cut (Kimble Rendall, 2000)"
http://www.ozmovies.com.au/movie/dad-and-dave-come-to-town,Q5207859,"Dad and Dave Come to Town (Ken G. Hall, 1938)"
http://www.ozmovies.com.au/movie/dad-and-dave-on-our-selection,Q5207857,"Dad and Dave: On Our Selection (George Whaley, 1995)"
http://www.ozmovies.com.au/movie/dad-rudd-m.p.,Q5207855,"Dad Rudd, MP (Ken G. Hall, 1940)"
http://www.ozmovies.com.au/movie/dags,Q5208656,"Dags (Murray Fahey, 1998)"
http://www.ozmovies.com.au/movie/daisy-and-simon,Q5209788,"Daisy and Simon (Stasch Radwanski Jr., 1988)"
http://www.ozmovies.com.au/movie/dallas-doll,Q5211325,"Dallas Doll (Ann Turner, 1994)"
http://www.ozmovies.com.au/movie/dalmas,Q5211523,"Dalmas (Bert Deling, 1973)"
http://www.ozmovies.com.au/movie/dance-me-to-my-song,Q5215162,"Dance Me to My Song (Rolf de Heer, 1998)"
http://www.ozmovies.com.au/movie/dangerous-game,Q5216093,"Dangerous Game (Stephen Hopkins, 1987)"
http://www.ozmovies.com.au/movie/dangerous-summer,Q4656244,"A Dangerous Summer (Quentin Masters, 1982)"
http://www.ozmovies.com.au/movie/dark-age,Q3231930,"Dark Age (Arch Nicholson, 1987)"
http://www.ozmovies.com.au/movie/dark-city,Q1127281,"Dark City (Alex Proyas, 1998)"
http://www.ozmovies.com.au/movie/dating-the-enemy,Q3429332,"Dating the Enemy (Megan Simpson Huberman, 1996)"
http://www.ozmovies.com.au/movie/david-williamson-compulsive-playwright,,
http://www.ozmovies.com.au/movie/david-williamsons-brilliant-lies,,
http://www.ozmovies.com.au/movie/david-williamsons-the-club,Q7723514,"The Club (Bruce Beresford, 1980)"
http://www.ozmovies.com.au/movie/david-williamsons-the-perfectionist,,
http://www.ozmovies.com.au/movie/dawn!,Q5242390,"Dawn! (Ken Hannam, 1979)"
http://www.ozmovies.com.au/movie/day-of-the-panther,Q5242975,"Day of the Panther (Brian Trenchard-Smith, 1988)"
http://www.ozmovies.com.au/movie/daydream-believer,Q7736524,"The Girl Who Came Late (Kathy Mueller, 1991)"
http://www.ozmovies.com.au/movie/dead-calm,Q845077,"Dead Calm (Phillip Noyce, 1989)"
http://www.ozmovies.com.au/movie/dead-easy.-(1982),Q5245150,"Dead Easy (Bert Deling, 1982)"
http://www.ozmovies.com.au/movie/dead-end,,
http://www.ozmovies.com.au/movie/dead-end-drive-in,Q5245167,"Dead End Drive-In (Brian Trenchard-Smith, 1986)"
http://www.ozmovies.com.au/movie/dead-heart,Q5245210,"Dead Heart (Nick Parsons, 1996)"
http://www.ozmovies.com.au/movie/dead-letter-office,Q5245250,"Dead Letter Office (John Ruane, 1997)"
http://www.ozmovies.com.au/movie/dead-sleep,Q5245405,"Dead Sleep (Alec Mills, 1991)"
http://www.ozmovies.com.au/movie/deadly,Q5245604,"Deadly (Esben Storm, 1991)"
http://www.ozmovies.com.au/movie/dear-cardholder,Q5246821,"Dear Cardholder (Bill Bennett, 1987)"
http://www.ozmovies.com.au/movie/dear-claudia,Q5246824,"Dear Claudia (Chris Cudlipp, 1999)"
http://www.ozmovies.com.au/movie/death-in-brunswick,Q4424397,"Death in Brunswick (John Ruane, 1990)"
http://www.ozmovies.com.au/movie/death-of-a-soldier,Q5247591,"Death of a Soldier (Philippe Mora, 1986)"
http://www.ozmovies.com.au/movie/deathcheaters,Q5247671,"Deathcheaters (Brian Trenchard-Smith, 1976)"
http://www.ozmovies.com.au/movie/delinquents,Q7729665,"The Delinquents (Chris Thomson, 1989)"
http://www.ozmovies.com.au/movie/demonstrator,Q5256327,"Demonstrator (Warwick Freeman, 1971)"
http://www.ozmovies.com.au/movie/dennis-orourke-on-dennis-orourke,,
http://www.ozmovies.com.au/movie/desolation-angels,Q5264862,"Desolation Angels (Chris Fitchett, 1982)"
http://www.ozmovies.com.au/movie/devil-in-the-flesh,Q5267342,"Devil in the Flesh (Scott Murray, 1989)"
http://www.ozmovies.com.au/movie/devils-hill,Q33060544,"Devil's Hill (Esben Storm, 1988)"
http://www.ozmovies.com.au/movie/devils-playground,Q3520601,"The Devil's Playground (Fred Schepisi, 1976)"
http://www.ozmovies.com.au/movie/diana--me,Q5271064,"Diana & Me (David Parker, 1997)"
http://www.ozmovies.com.au/movie/diaries-of-vaslav-nijinsky,Q7730099,"The Diaries of Vaslav Nijinsky (Paul Cox, 2001)"
http://www.ozmovies.com.au/movie/diggers,Q5275641,"Diggers (Francis William Thring, 1931)"
http://www.ozmovies.com.au/movie/diggers-in-blighty,Q5275649,"Diggers in Blighty (Pat Hanna/Raymond Longford, 1933)"
http://www.ozmovies.com.au/movie/dimboola,Q5277185,"Dimboola (John Duigan, 1979)"
http://www.ozmovies.com.au/movie/dingo,Q3028325,"Dingo (Rolf de Heer, 1991)"
http://www.ozmovies.com.au/movie/dirty-deeds,Q4151182,"Dirty Deeds (David Caesar, 2002)"
http://www.ozmovies.com.au/movie/dish,Q1410845,"The Dish (Rob Sitch, 2000)"
http://www.ozmovies.com.au/movie/distant-home,Q15039417,"The Distant Home (Robert Marchand, 1992)"
http://www.ozmovies.com.au/movie/doctors--nurses,Q5287568,"Doctors and Nurses (Maurice Murphy, 1981)"
http://www.ozmovies.com.au/movie/dogfood,,
http://www.ozmovies.com.au/movie/dogs-in-space,Q5288447,"Dogs in Space (Richard Lowenstein, 1987)"
http://www.ozmovies.com.au/movie/doing-time-for-patsy-cline,Q5288674,"Doing Time for Patsy Cline (Chris Kennedy, 1997)"
http://www.ozmovies.com.au/movie/don-quixote,Q5293358,"Don Quixote (Rudolf Nureyev, 1973)"
http://www.ozmovies.com.au/movie/dons-party,Q5291409,"Don's Party (Bruce Beresford, 1976)"
http://www.ozmovies.com.au/movie/dot-and-keeto,Q16918861,"Dot and Keeto (Yoram Gross, 1985)"
http://www.ozmovies.com.au/movie/dot-and-the-bunny,Q16919040,"Dot and the Bunny (Yoram Gross, 1983)"
http://www.ozmovies.com.au/movie/dot-and-the-kangaroo,Q16833576,"Dot and the Kangaroo (Yoram Gross, 1977)"
http://www.ozmovies.com.au/movie/dot-and-the-koala,Q9210334,"Dot and the Koala (Yoram Gross, 1984)"
http://www.ozmovies.com.au/movie/dot-and-the-smugglers,Q16919808,"Dot and the Smugglers (Yoram Gross, 1987)"
http://www.ozmovies.com.au/movie/dot-and-the-whale,Q5299400,"Dot and the Whale (Yoram Gross, 1986)"
http://www.ozmovies.com.au/movie/dot-goes-to-hollywood,Q5299390,"Dot Goes to Hollywood (Yoram Gross, 1987)"
http://www.ozmovies.com.au/movie/dot-in-space,Q15039815,"Dot in Space (Yoram Gross, 1994)"
